,id,signal_frequency,signal_drift_rate,signal_snr,signal_beam,signal_power,signal_incoherent_power,signal_num_timesteps,tstart,tstart_h,ra_hours,dec_degrees,source_name,tuning,file_uri,file_local_enumeration
777,987213474,32878.74941686859,0.24253192047278088,87.50602722167969,0,5966039875584.0,5541467783168.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C352.0000.raw.seticore.hits,16
778,987213475,32878.8218045639,0.24253192047278088,152.95912170410156,0,10228397506560.0,10114629107712.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C352.0000.raw.seticore.hits,17
816,987213533,32910.22345594635,0.24253192047278088,63.34538650512695,0,4787938525184.0,5156461608960.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C352.0000.raw.seticore.hits,75
817,987213557,33134.747229139706,-0.48506384094556176,84.96240997314453,0,5120449314816.0,5126310854656.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C608.0000.raw.seticore.hits,0
818,987213558,33134.733599226376,-0.24253192047278088,13.48620319366455,0,1011762462720.0,662525247488.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C608.0000.raw.seticore.hits,1
855,987213595,33134.64880995025,0.24253192047278088,10.201783180236816,0,822963273728.0,860748447744.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C608.0000.raw.seticore.hits,38
877,987213664,33166.2421460556,-0.24253192047278088,30.871381759643555,0,2094469742592.0,2158190526464.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C608.0000.raw.seticore.hits,107
910,987213697,33166.22162679901,0.24253192047278088,355.24700927734375,0,21516787908608.0,21349948981248.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C608.0000.raw.seticore.hits,140
951,987213806,32231.068550627137,0.48506384094556176,35.55388259887695,0,1818940932096.0,1744032759808.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C320.0000.raw.seticore.hits,1
952,987213807,32231.124401609803,0.24253192047278088,21.11431884765625,0,1156661379072.0,1167601958912.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C320.0000.raw.seticore.hits,2
