,Unnamed: 0,id,beam_id,observation_id,tuning,subband_offset,file_uri,file_local_enumeration,signal_frequency,signal_index,signal_drift_steps,signal_drift_rate,signal_snr,signal_coarse_channel,signal_beam,signal_num_timesteps,signal_power,signal_incoherent_power,source_name,fch1_mhz,foff_mhz,tstart,tsamp,ra_hours,dec_degrees,telescope_id,num_timesteps,num_channels,coarse_channel,start_channel,tstart_h
49065,19466171,959327162,482111,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,3848,24340.87674655914,512096,-2,-1.039422516311918,35.08245086669922,30,0,8,990533713920.0,897496055808.0,3073619025268414208,24340.8766664505,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,81,30,512054,2023-12-17 11:23:48.372431
49154,19466260,959327317,482111,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,3868,24340.88776912689,517875,2,1.039422516311918,25.58362579345703,30,0,8,746721509376.0,858761330688.0,3073619025268414208,24340.887692832945,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,81,30,517835,2023-12-17 11:23:48.372431
49162,19466268,959327331,482111,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,3870,24340.719207191465,429500,3,1.559133774467877,41.03702545166016,30,0,8,1143373430784.0,1113329762304.0,3073619025268414208,24340.71913089752,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,82,30,429460,2023-12-17 11:23:48.372431
49327,19466433,959327620,482112,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,3909,24340.87674655914,512096,-2,-1.039422516311918,40.41716766357422,30,1,8,897496055808.0,897496055808.0,Incoherent,24340.8766664505,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,81,30,512054,2023-12-17 11:23:48.372431
49416,19466522,959327777,482112,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,3930,24340.719209098814,429501,2,1.039422516311918,51.349945068359375,30,1,8,1113593610240.0,1113593610240.0,Incoherent,24340.71913280487,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,81,30,429461,2023-12-17 11:23:48.372431
49421,19466527,959327785,482112,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,3931,24340.88776721954,517874,3,1.559133774467877,38.46045684814453,30,1,8,858819723264.0,858819723264.0,Incoherent,24340.8876909256,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,82,30,517834,2023-12-17 11:23:48.372431
54303,19471409,959337452,482111,17926,AC,384,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C384.0028.raw.seticore.hits,35,24118.22370853424,169716,-2,-1.039422516311918,26.43006706237793,0,0,8,1027090612224.0,894335254528.0,3073619025268414208,24118.2236284256,1.9073486328125e-06,60295.474816876,0.524288,8.638733333333333,-0.69966,0,8,81,0,169674,2023-12-17 11:23:44.178086
55058,19472164,959338800,482111,17926,AC,544,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C544.0028.raw.seticore.hits,3633,24308.829169654844,487152,-3,-1.559133774467877,72.4515609741211,30,0,8,1999932227584.0,2294120710144.0,3073619025268414208,24308.829087638853,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,82,30,487109,2023-12-17 11:23:48.372431
55132,19472238,959338933,482111,17926,AC,384,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C384.0028.raw.seticore.hits,200,24118.22370662689,169715,-2,-1.039422516311918,20.71635055541992,0,0,8,829315022848.0,552972058624.0,3073619025268414208,24118.223626518247,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,81,0,169673,2023-12-17 11:23:48.372431
55328,19472434,959339301,482112,17926,AC,544,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C544.0028.raw.seticore.hits,3684,24308.65995731353,398436,-4,-2.078845032623836,16.7073917388916,30,1,8,439435952128.0,439435952128.0,Incoherent,24308.6598733902,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,83,30,398392,2023-12-17 11:23:48.372431
